entry_price,exit_price,lotes,entry_time,exit_time,pnl,pnl_pips,reason
144.367,144.554,0.04992,14828,14839,9.33483,1870.0,model_exit
0.6497,0.65127,0.04992,14862,14873,0.07844,15.71172,take_profit
0.6514,0.65298,0.04992,14883,14888,0.07878,15.7814,take_profit
0.65329,0.65488,0.04992,14889,14893,0.07929,15.88408,take_profit
0.6565,0.6581,0.0499,14894,14935,0.08008,16.04655,take_profit
0.65893,0.66052,0.04993,14936,14941,0.0793,15.88245,take_profit
0.66121,0.66281,0.04993,14942,14965,0.07974,15.97206,take_profit
0.66255,0.66172,0.04993,14973,14989,-0.04169,-8.34871,stop_loss
0.66058,0.65918,0.04535,15011,15063,-0.06344,-13.9903,stop_loss
0.65905,0.66065,0.04538,15064,15079,0.07265,16.00884,take_profit
0.66077,0.66238,0.04584,15080,15084,0.07363,16.06442,take_profit
0.66206,0.66368,0.0481,15085,15140,0.07779,16.17213,take_profit
0.66649,0.66565,0.04992,15141,15161,-0.04218,-8.44966,stop_loss
0.66535,0.66697,0.04949,15162,15184,0.08024,16.21299,take_profit
0.66732,0.66648,0.04996,15203,15207,-0.04207,-8.4196,stop_loss
0.66666,0.66825,0.04947,15208,15218,0.07884,15.93765,take_profit
0.6684,0.66755,0.04582,15219,15224,-0.03896,-8.50413,stop_loss
0.66682,0.66844,0.04722,15230,15253,0.07655,16.21104,take_profit
0.66544,0.66705,0.04996,15294,15342,0.08055,16.12257,take_profit
0.66814,0.66976,0.04996,15344,15367,0.08079,16.17107,take_profit
0.67037,0.66952,0.04993,15368,15428,-0.04226,-8.46454,stop_loss
0.66967,0.67128,0.04951,15429,15435,0.07969,16.09643,take_profit
0.67231,0.67146,0.04812,15441,15442,-0.04106,-8.53275,stop_loss
0.6708,0.67243,0.04676,15449,15457,0.07617,16.28795,take_profit
0.67291,0.67454,0.04581,15458,15467,0.07477,16.32126,take_profit
0.67437,0.67352,0.04996,15468,15516,-0.04261,-8.52797,stop_loss
0.67391,0.67554,0.04582,15525,15531,0.07455,16.26856,take_profit
0.6762,0.67534,0.04812,15537,15560,-0.04129,-8.58244,stop_loss
0.67426,0.67589,0.04861,15563,15615,0.07943,16.34171,take_profit
0.67659,0.67823,0.04581,15616,15632,0.07529,16.43605,take_profit
0.67678,0.67841,0.04996,15682,15730,0.08163,16.34043,take_profit
0.67884,0.68048,0.04994,15731,15749,0.08174,16.36872,take_profit
0.68115,0.68279,0.04993,15750,15755,0.08203,16.42879,take_profit
0.68336,0.68309,0.04993,15756,15761,-0.01348,-2.7,model_exit
0.67624,0.67791,0.04533,15771,15772,0.07552,16.65943,take_profit
0.67952,0.67865,0.04984,15782,15798,-0.04352,-8.73079,stop_loss
0.67692,0.67857,0.04952,15799,15800,0.08153,16.46377,take_profit
0.67988,0.68154,0.04995,15810,15816,0.08278,16.57327,take_profit
0.68388,0.68555,0.04994,15848,15853,0.08361,16.74226,take_profit
0.68562,0.6873,0.04991,15854,15858,0.0837,16.77149,take_profit
0.68747,0.68915,0.04992,15859,15869,0.08366,16.75993,take_profit
0.688,0.68771,0.04985,15878,15899,-0.01446,-2.9,model_exit
0.687,0.68801,0.04517,15974,15980,0.04562,10.1,model_exit
0.68439,0.68352,0.04987,16070,16088,-0.04346,-8.71612,stop_loss
0.67842,0.67972,0.04528,16166,16195,0.05887,13.0,model_exit
0.67574,0.67489,0.04996,16214,16230,-0.04271,-8.54928,stop_loss
0.67709,0.67875,0.04675,16237,16243,0.07765,16.60958,take_profit
0.6792,0.67892,0.0458,16244,16287,-0.01282,-2.8,model_exit
0.67534,0.67447,0.04528,16358,16376,-0.03953,-8.73134,stop_loss
0.66776,0.667,0.04527,16454,16501,-0.03441,-7.6,model_exit
0.66761,0.66921,0.04536,16550,16567,0.07278,16.04511,take_profit
0.67099,0.67059,0.0463,16569,16592,-0.01852,-4.0,model_exit
0.66827,0.6684,0.04531,16646,16653,0.00589,1.3,model_exit
0.66258,0.6642,0.04995,16664,16668,0.08077,16.17071,take_profit
0.6643,0.66345,0.04992,16688,16693,-0.04219,-8.45228,stop_loss
