time,open,high,low,close,tick_volume,spread,real_volume
2023-06-06 03:30:00,139.478,139.556,139.471,139.545,606,2,0
2023-06-06 03:45:00,139.545,139.574,139.508,139.564,789,2,0
2023-06-06 04:00:00,139.564,139.629,139.527,139.593,820,2,0
2023-06-06 04:15:00,139.593,139.634,139.555,139.615,678,2,0
2023-06-06 04:30:00,139.617,139.656,139.593,139.631,526,2,0
2023-06-06 04:45:00,139.631,139.649,139.579,139.584,378,2,0
2023-06-06 05:00:00,139.584,139.589,139.502,139.516,758,2,0
2023-06-06 05:15:00,139.516,139.537,139.506,139.526,636,2,0
2023-06-06 05:30:00,139.526,139.592,139.525,139.583,595,2,0
2023-06-06 05:45:00,139.582,139.588,139.534,139.542,515,2,0
2023-06-06 06:00:00,139.54,139.551,139.459,139.47,507,2,0
2023-06-06 06:15:00,139.47,139.504,139.457,139.476,382,2,0
2023-06-06 06:30:00,139.475,139.522,139.475,139.498,611,2,0
2023-06-06 06:45:00,139.498,139.549,139.479,139.546,517,2,0
2023-06-06 07:00:00,139.546,139.562,139.527,139.549,573,0,0
2023-06-06 07:15:00,139.549,139.567,139.518,139.526,469,0,0
2023-06-06 07:30:00,139.526,139.635,139.513,139.515,1413,0,0
2023-06-06 07:45:00,139.514,139.517,139.43,139.454,996,0,0
2023-06-06 08:00:00,139.454,139.454,139.339,139.41,1115,0,0
2023-06-06 08:15:00,139.41,139.448,139.392,139.443,1061,0,0
2023-06-06 08:30:00,139.444,139.498,139.419,139.49,902,0,0
2023-06-06 08:45:00,139.493,139.52,139.452,139.491,1073,0,0
2023-06-06 09:00:00,139.491,139.5,139.3,139.407,1447,0,0
2023-06-06 09:15:00,139.407,139.423,139.342,139.417,1056,0,0
2023-06-06 09:30:00,139.418,139.443,139.352,139.376,1235,0,0
2023-06-06 09:45:00,139.374,139.405,139.275,139.323,1114,0,0
2023-06-06 10:00:00,139.327,139.39,139.153,139.204,2453,0,0
2023-06-06 10:15:00,139.202,139.29,139.182,139.242,2202,0,0
2023-06-06 10:30:00,139.242,139.276,139.095,139.181,2013,0,0
2023-06-06 10:45:00,139.181,139.338,139.174,139.301,1268,0,0
2023-06-06 11:00:00,139.302,139.305,139.121,139.188,2533,0,0
2023-06-06 11:15:00,139.187,139.324,139.186,139.239,1623,0,0
2023-06-06 11:30:00,139.24,139.289,139.201,139.263,1337,0,0
2023-06-06 11:45:00,139.264,139.313,139.173,139.209,1515,0,0
2023-06-06 12:00:00,139.209,139.254,139.148,139.191,1478,0,0
2023-06-06 12:15:00,139.192,139.282,139.156,139.247,1258,0,0
2023-06-06 12:30:00,139.248,139.357,139.229,139.338,1078,0,0
2023-06-06 12:45:00,139.337,139.383,139.314,139.338,950,0,0
2023-06-06 13:00:00,139.335,139.379,139.294,139.356,856,0,0
2023-06-06 13:15:00,139.356,139.417,139.346,139.364,860,0,0
2023-06-06 13:30:00,139.364,139.368,139.314,139.367,869,0,0
2023-06-06 13:45:00,139.368,139.463,139.348,139.441,997,0,0
2023-06-06 14:00:00,139.442,139.487,139.43,139.471,853,0,0
2023-06-06 14:15:00,139.48,139.565,139.466,139.561,946,0,0
2023-06-06 14:30:00,139.561,139.594,139.531,139.542,989,0,0
2023-06-06 14:45:00,139.542,139.619,139.542,139.592,850,0,0
2023-06-06 15:00:00,139.592,139.62,139.532,139.613,1007,0,0
2023-06-06 15:15:00,139.613,139.711,139.595,139.694,1362,0,0
2023-06-06 15:30:00,139.694,139.845,139.684,139.826,1238,0,0
2023-06-06 15:45:00,139.826,139.896,139.741,139.781,1316,0,0
2023-06-06 16:00:00,139.781,139.806,139.63,139.644,1308,0,0
